req_count_1m,req_count_5m,avg_req_interval,std_req_interval,burst_max_5s,unique_endpoints,unique_methods,get_ratio,post_ratio,4xx_count,5xx_count,401_count,403_count,404_count,avg_latency,max_latency,bytes_sent,avg_payload_size,failed_auth_count,token_changes,distinct_user_agents,admin_route_hits,sensitive_route_hits
386,604,59.49898778647096,1.208564530611505,77,60,3,0.8891529341490971,0.28473905360015783,86,35,66,26,74,564.8418478465403,1909.3370900330594,7549.17899110059,4282.399899914215,72,11,8,27,26
73,920,83.51998900432766,4.344610716234908,93,31,4,0.1242271281482771,0.7490168292615254,22,41,71,44,23,353.51226260056967,2094.755723800462,20958.10027478615,4754.746829186054,47,6,4,30,11
30,27,4890.686647003901,976.6433650300173,7,8,1,0.7816690253164762,0.07508050631817981,0,0,0,0,0,103.816792922964,50.53747168362186,3200.1035764165504,217.91440512676996,0,1,1,0,1
25,23,1697.171391327786,73.48465786649678,5,9,2,0.738445349758436,0.22015842253016055,1,0,0,0,1,32.44251355186662,29.4269592773642,1086.7188028259684,54.78865000588884,0,0,1,0,0
358,1432,50.36442608991342,1.4732589909021883,65,30,2,0.40668180911408836,0.31814946799527766,233,22,29,43,130,471.57718886197847,2097.146080540106,23976.9821274695,6887.213680071246,18,13,3,14,10
18,11,4170.471532856717,990.7416359416079,4,9,1,0.9225980446723743,0.1430432865131268,1,0,0,0,0,48.161594087395116,29.256512951074725,4747.937026484998,436.5116745509936,0,0,1,0,0
326,715,9.858797884790164,0.306300614131243,20,68,2,0.6578808079863728,0.8872773106456867,261,17,57,17,20,624.7670949429781,2148.3611023512244,15901.41017601358,4529.358976543639,56,13,5,12,36
36,100,2128.1262600637783,271.5254536330392,2,9,1,0.933516466766272,0.09847032676067259,0,0,0,0,0,37.62312058353866,112.1478699915527,3961.8772217594237,23.949040245019315,0,0,1,0,0
153,1439,17.909588227051145,1.5746449762441932,93,66,4,0.7116749850587412,0.4507263002301958,156,35,6,22,74,573.3465763683886,2681.4446200653006,37229.69809243295,1705.1125320671501,90,14,8,26,37
4,33,2125.5542639395558,618.5090818026673,1,6,1,0.8154688851583166,0.21618444078463425,0,0,0,0,0,47.494544225852096,57.57844021563109,2567.195543775087,7.833034285123719,0,0,1,0,0
343,1040,33.80568527882616,0.6185241934046232,94,10,3,0.36582479670684376,0.8187737766458464,119,4,61,7,63,533.7157865906668,1852.6626916036776,32493.01115064777,1004.8814773941453,28,5,9,37,22
3,116,2669.110337420557,987.1938705306403,1,1,2,0.7795664347538376,0.15581770354729477,1,0,0,0,0,62.36556562402821,150.88941145647422,2532.6805536683482,75.6961885657495,0,0,1,0,1
7,63,2433.4891895995606,807.3125607028481,4,8,2,0.7498767022277486,0.08097885974181503,0,0,0,0,0,30.66183484057075,95.33231493224459,2095.779185953845,319.23410499665493,0,0,1,1,0
33,10,1670.9047233186832,430.288563981165,7,4,1,0.8624059100522629,0.020296280707920777,0,0,0,0,0,105.14708931254722,36.90641814131667,1601.2199833320662,90.53278938408471,0,0,1,0,2
29,48,2506.83734131445,150.70653503292365,7,12,2,0.9694390556253589,0.06475249581849148,0,0,0,0,0,37.858168268159545,116.6976730492869,4844.5505731285175,233.4656276815791,0,0,1,0,1
361,614,78.53290356241966,0.5293605611605551,52,19,3,0.2837446455133925,0.5442857073732356,222,41,56,15,126,766.753487093811,2063.1356394850272,36792.96179099556,3506.475006118854,75,5,6,16,10
24,20,4396.5382314957105,75.19015130334897,2,14,1,0.7930826156471025,0.07781756619247547,0,0,0,0,0,14.951273327994036,288.09907786831985,4990.578371566556,104.71360713985366,0,0,1,0,1
29,119,900.096681368563,564.0354020588092,6,12,1,0.710228052642839,0.17864480685686887,1,0,0,0,0,62.41924441324881,53.69933597479596,1551.0008605471055,205.7293955449755,0,0,1,0,2
30,22,4516.4144760468735,878.6099344291209,5,3,2,0.8586323369777289,0.09391022131091198,0,0,0,0,0,29.61116010775342,196.66720347651156,1017.8913172896955,275.8450535023996,0,0,1,0,1
19,118,1997.0538794941228,599.8230606202582,3,8,1,0.8471047500764146,0.04715365279400724,0,0,0,0,0,46.568815665635896,52.90753077945937,3291.0974610967905,272.3179430082347,0,0,1,0,2
3,119,4309.034555587952,300.36289581548215,3,14,2,0.750011181497678,0.10980484570821188,0,0,0,0,0,12.015098328852424,169.5773384854636,361.39164042276815,291.02919658316085,0,0,1,0,1
36,40,575.5265336716169,40.45564007324532,7,5,2,0.9816930822327172,0.21913387721362296,0,0,0,0,0,92.20498429298863,290.5684543900207,2635.3185151104867,64.5091753201758,0,0,1,0,2
20,115,2732.564019060831,561.6501748688452,6,11,2,0.9691487196754636,0.22934798985664964,0,0,1,0,0,83.59524214016153,52.7576057012965,560.6337037987354,247.14874092990758,0,0,1,0,0
301,529,51.705624265364854,2.234432794058123,87,26,3,0.5702475303457502,0.13137895470724673,180,13,19,31,26,656.3226367318031,2152.5179195612213,42013.33319558537,2526.447024211653,46,5,5,25,48
2,27,1716.7667319812026,807.5327294448783,2,11,2,0.85344868655838,0.032921870272417275,0,0,0,0,0,95.70952910429266,132.28913366824264,122.56991760813514,481.76083124053105,0,0,1,0,1
379,151,17.649052085727575,4.842417441442704,23,54,2,0.6815781753449596,0.6274938557966518,236,7,26,37,52,193.26707697838248,2927.266352778315,22940.801482154613,5122.399242598949,92,12,9,22,26
14,33,4511.037672935228,664.9209074735818,4,13,1,0.8397707855407769,0.21345384696428452,0,0,0,0,0,85.2050793873455,296.4208498042047,2068.037405223159,110.06726017049733,0,0,1,1,2
20,38,1455.4768866043373,153.03456020621533,6,13,2,0.8359853359381062,0.08613795519187081,1,0,0,0,1,41.43366985909447,125.47602161318846,3126.213670867375,226.90557746537178,0,0,1,0,0
32,31,925.4068962601456,268.9656022175008,7,14,1,0.8001464099676402,0.05862787898200503,1,0,0,0,0,104.07735616177501,208.23531200370888,209.63960404741616,249.52373740707918,0,0,1,0,2
19,94,702.5796566006757,316.28519759219677,5,7,1,0.8478202908858283,0.1638783339206705,1,0,0,0,0,86.30057909709883,180.07167449577247,3423.194683553346,102.52293669285467,0,0,2,0,2
28,101,1188.1871240385,259.0614334701331,2,12,1,0.7207508944917367,0.2846262004308063,0,0,0,0,0,51.22180555745494,245.24865713303456,4845.945133416441,490.21193203676387,0,0,1,0,2
6,15,2258.6512552971135,612.4737435698121,5,9,2,0.781181599452489,0.10502525035355748,1,0,0,0,0,93.39460839828226,23.090204802490888,4084.420073125197,473.9559808578628,0,0,1,0,2
294,166,23.419970942255485,2.5329451983913023,20,32,2,0.33199742216522965,0.641635067121064,94,41,31,5,24,499.7454885422379,1102.2642294559887,20752.610160677694,4048.7874027610746,50,11,6,6,37
29,104,968.5710397460898,607.956794693795,4,10,2,0.9269491166541608,0.08724598276194834,0,0,0,0,0,50.61142678343073,294.95328552120054,3373.9920860859406,84.97758933851263,0,1,1,0,1
295,221,51.936907045446695,2.265464772857217,82,52,2,0.573506521248417,0.7545180036667409,137,9,98,11,123,239.11709127016067,2856.7436142051533,35286.278721518516,703.8692267934314,61,11,8,38,10
20,44,3572.907778110584,213.3661327460147,6,11,1,0.8121447217368136,0.08683021750103365,0,0,0,0,0,30.17599494944789,147.4291419720821,2360.401707065541,421.26370940675844,0,0,1,0,0
32,72,3434.1966397631822,77.31780866034254,7,12,2,0.8069559382877306,0.17625489496441327,0,0,0,0,0,85.46110579752282,221.10843248150408,4004.5143144824383,451.2797650967205,0,0,1,0,2
34,25,1190.5585779476128,515.3505848498833,2,4,2,0.9488640399072856,0.004825319645170634,0,0,0,0,0,58.47689712407062,121.00207820054392,1681.0774298553038,360.7326847064117,0,0,1,0,2
324,1071,66.45751360818105,1.2954218678155538,21,77,2,0.7829950425873319,0.6605335046094123,39,39,41,13,55,407.911903145658,2554.929903941785,11128.696880975003,4479.571940746255,81,6,4,6,42
36,21,3512.7932363454433,245.0629290372652,1,14,2,0.8362317237073138,0.1802538109694982,0,0,0,0,0,63.42334483340687,105.26640766634395,4942.724902550189,491.47291933706873,1,0,1,0,1
1,116,4298.2448092504565,145.23558222651002,2,2,1,0.9563730006719496,0.2447555774849971,0,0,0,0,0,90.83099297892565,80.24189115806115,4092.1324150300707,96.26790976947841,0,0,1,0,2
9,26,1455.9132730916685,46.96129308720264,3,12,2,0.7449883980121772,0.22741000161317146,0,0,0,0,0,57.79016691323916,292.3447357300836,1254.5015248041443,444.73131670136013,0,0,1,0,2
15,34,555.4917001081576,487.31756856260387,4,4,2,0.7123206274076521,0.2951301533555582,0,0,0,0,0,17.845295543383077,207.77056766378658,1107.4980159856495,333.9438656116992,0,0,1,0,1
30,60,1804.7637523147646,519.5379955088925,7,8,2,0.8248784274196914,0.2339823205060961,0,0,0,0,0,23.703094704976515,99.67169088776248,2277.163469381014,59.16504661565591,0,0,1,0,2
2,47,676.9889785436959,906.7559610033956,5,2,1,0.7080987406748795,0.2057484697731045,0,0,0,0,1,103.97897002236947,187.83896741928268,3486.556214839676,135.72227196863156,0,0,1,2,0
16,99,1468.3541697828935,376.6357834673027,6,13,2,0.8706638844670963,0.10872298095237835,0,0,0,0,0,105.17667334537559,279.80804766763725,4529.099868406614,289.5185459042759,0,0,1,0,0
158,1049,49.65209227582985,1.699703114358781,76,10,3,0.29947635240053494,0.2746747599348872,212,22,68,49,23,175.2647207535387,656.5465512016666,45003.0967110043,4499.61370880979,59,6,2,12,23
15,58,2270.966827798815,366.84456521903684,1,7,2,0.8598090234444213,0.23789366255418423,0,0,0,0,0,11.4190210765516,38.7447335224899,3422.88172539246,86.66197043705188,0,0,1,0,2
170,182,14.608425764648361,3.8175352083028784,96,15,3,0.3113890944249864,0.7797861087085008,131,8,98,33,102,549.9441123356803,2553.9732565791032,2864.4904560654945,1965.825331819519,88,12,4,15,17
1,27,2784.2035163071037,242.57575074202012,4,12,2,0.9073110566227787,0.09187638767063021,0,0,0,0,0,33.35055786969385,72.24754038116973,4663.863752256747,194.94931435604818,0,0,1,0,1
20,32,596.7451751176721,674.4380707847968,2,14,2,0.8247576911481496,0.08544259564872138,0,0,0,0,0,64.82497719503841,281.1529389165488,4729.434378441419,76.26985087788462,0,0,2,0,2
23,108,4821.030889371813,405.4933866038071,5,13,1,0.9252891728575032,0.19682537369666134,0,0,0,0,0,118.19539721875937,32.09571811531612,4927.045810245196,259.03228542456316,0,0,1,0,0
9,7,4643.818154221245,413.2764191196296,6,6,2,0.9245545136390837,0.13404709538860032,0,0,0,0,0,43.45229806568918,164.12223480192304,957.3193005325036,126.86950223980925,0,0,1,0,0
19,26,768.871249064706,666.9864813787473,3,1,1,0.8095627637826353,0.07861234936249938,0,0,0,0,0,38.42464209398816,137.88634959597348,1345.3055395650924,39.95048721679934,0,0,1,0,2
28,24,2659.065886808704,720.8627914612026,6,2,2,0.7884078246013276,0.15943937936735014,0,0,0,0,0,103.21776137562071,192.48130427814812,455.6505603238857,237.0225952385937,0,0,1,0,2
4,40,4434.6420877415785,15.485667829344028,4,10,2,0.7196187404435107,0.19796268783671145,0,0,0,0,0,99.10414744644856,143.8506278668026,3920.471655587768,356.55271960351314,0,0,1,0,0
136,302,85.99569465520713,1.1890704855941285,93,46,4,0.5325454166627303,0.8950349077210997,141,7,58,12,65,154.69432137774533,822.141760328073,15925.454268607757,4552.62259963342,32,14,3,12,18
15,20,2809.035218770134,305.86586204373117,3,10,2,0.8288503150586599,0.036242744567537975,0,0,0,0,0,96.82337399386626,45.315097497819295,3113.5872595957917,391.9275022216747,0,0,1,0,2
9,23,4184.897735812156,398.0636683497004,4,2,1,0.7041945177649431,0.22041694379387347,0,0,0,0,0,115.97221425274842,64.61229045887889,410.33198839668614,13.378254841376446,0,1,1,0,1
203,1276,21.708715824563196,1.7007057740227287,45,30,3,0.44108394748330526,0.32313996929689026,132,4,13,46,22,666.7544184402403,2806.16208688676,13755.786971123205,4666.86345285823,13,6,8,32,36
16,110,3684.4453692609004,30.246849293842416,1,13,1,0.8545145874651061,0.09111425577277484,0,0,0,0,0,17.508155851427997,166.50585254643846,1657.8141391906586,447.495952818637,0,0,1,0,0
64,197,34.135988205198366,2.626455844449444,45,74,3,0.8061400744444959,0.7161931629637024,86,43,88,5,74,92.9886720919068,1461.5406839414463,46038.00983826213,2834.149261642794,89,5,6,18,38
13,101,1527.378365768398,560.115124680044,4,10,2,0.7446344699253169,0.2734227817119001,0,0,0,0,0,34.91223279407896,205.50746557741363,1405.2453550099835,422.07738373162476,0,0,1,0,2
26,60,2327.535413132242,499.8153094988235,5,1,1,0.9286022999165084,0.2624682263918278,0,0,0,0,0,12.82156838464148,275.8718404325049,1323.3825504452197,229.58667288558593,0,0,1,0,2
10,105,4559.484139727601,572.778172032613,7,7,1,0.7080877545891182,0.23167585230656837,0,0,0,0,1,36.50147864375516,203.1869822428183,3873.7798908405307,298.3648420843223,0,0,1,0,1
31,35,1324.4694952050113,974.4857004438566,6,11,1,0.7356794649561049,0.05234995088578147,0,0,0,0,0,31.683426675208953,92.32001346249467,4799.279495012026,117.10111037368759,0,0,1,0,1
26,66,4558.6187858398225,780.1836982105391,3,13,1,0.9402852047847189,0.17429245929163076,2,0,0,0,0,102.21895947490214,239.78908338734882,2836.863240159078,143.91206380975768,0,0,1,0,0
9,86,1077.9248236452024,423.4017755083698,2,11,2,0.7910275073738182,0.09009036742513998,0,0,0,0,0,45.94314849133625,61.90891155148665,2321.147712854398,472.00618569871114,0,0,1,0,2
5,113,2482.1332507559987,273.1212291329539,6,4,1,0.963335214983766,0.2908099572154346,0,0,0,0,0,79.25712845514644,286.7934882245347,514.3589611703217,396.7586101731618,0,0,1,0,0
93,151,31.75078312103617,4.575263964796835,57,23,4,0.14993914083621507,0.3768703292123694,65,23,27,25,39,525.5102571951788,443.97867076189743,43478.13474920297,1354.5708534824387,73,11,9,37,23
1,113,4311.07816306462,840.4615286710081,2,8,2,0.7854097430108915,0.1828084509105717,0,0,0,0,0,17.983802842677456,292.69543706384707,3575.727025758456,304.3203664617466,0,0,1,0,2
3,44,1609.9123195510717,816.9816955396973,6,12,2,0.852761956112492,0.0008556168236159234,0,0,0,0,0,106.19588909470572,194.46302887365,2251.4877194609307,170.96801169325704,0,0,1,1,0
20,64,3205.5382382349026,228.08910737602787,3,4,2,0.9262806948587388,0.021916256332938765,0,0,1,0,0,53.55921131762011,220.84565899949757,1278.160819401546,422.4284846083031,0,0,1,0,0
206,341,93.56885490507541,2.436094450168331,99,49,2,0.603473245971683,0.7251574928443362,33,22,88,46,66,645.3586960316121,2244.5826890696226,37933.24126906794,4318.40692360621,91,7,4,30,35
18,60,3056.3071058055966,992.8390813243254,4,7,2,0.9958483664240655,0.14842788614153007,0,0,0,0,0,39.45013422273756,103.76839225624323,3873.4971178807536,121.58568877500414,0,0,1,0,0
20,89,4423.593270842397,961.1300570293796,5,2,1,0.7073322661845003,0.06705363979302305,0,0,0,0,0,51.70390021031864,69.23033717396747,4540.214097529953,221.26101719720754,0,0,1,0,2
29,50,2277.515133922826,29.910719534807743,7,13,2,0.9647134633267412,0.11606972912737973,0,0,0,0,0,58.01795476580746,108.17984705512417,615.0618920971249,136.65326411185214,0,0,1,0,0
376,1471,58.4256800833218,4.718934351652589,93,75,3,0.17251884390181493,0.17282685597504122,146,33,26,40,103,262.74490049082624,1698.0612065382647,33531.92642232497,5642.695851267884,70,2,9,18,30
25,117,1459.0629632542345,462.27385469604474,2,5,2,0.9627165543126914,0.2597519306569999,0,0,0,0,0,35.10593923650435,237.26593706309563,3668.153070604407,81.42213539726112,0,0,2,0,0
6,28,1248.2093418100076,422.1239132755941,7,4,2,0.9854409797647379,0.16747203409870823,0,0,0,0,0,84.78483864433686,72.57378517725265,4630.317887921064,384.0081287644739,0,0,1,0,2
37,85,1077.6795980630793,281.2829754504678,4,6,2,0.9296607667926562,0.18596505251685133,0,0,0,0,0,19.50880796375033,202.50062047622183,3636.585452789503,70.84837105622942,0,0,1,0,0
33,96,978.6548160922277,617.2869937559724,4,1,2,0.7262662460860768,0.020943478396076198,0,0,0,0,0,114.20215118964533,121.60568864323022,3754.0329102725777,16.786028970341537,0,0,1,0,2
2,74,3373.0622249933217,778.066681020825,1,9,1,0.89606950099387,0.051424960578547764,0,0,0,0,0,22.81610065890302,67.88777360952078,3560.4020621795207,240.0982152315359,0,0,1,0,1
32,15,2723.019264818084,575.9932909643607,4,1,2,0.8255072782426722,0.1093857577794879,0,0,0,0,0,48.12357846513087,184.95681008320992,3305.5732844249947,52.92531287170171,0,0,1,0,1
329,702,89.56078347398007,2.9057953988115717,45,35,3,0.20239398081794047,0.43749157329058996,109,25,35,33,33,154.0955212261071,671.5837258143606,42384.80258064507,3588.0148087619364,69,14,5,18,12
31,78,4808.583593594317,403.1601447492516,7,7,2,0.7215479296178011,0.02607083712879954,0,0,0,0,1,89.9646480244884,113.67520919403528,3210.9061366594306,374.957221803924,0,0,1,0,2
24,92,1762.079773550653,740.4418957810558,5,10,2,0.806859900173484,0.2582956537620143,0,0,0,0,0,41.46853949689575,34.150635245186805,2235.7985816117366,30.87536156105547,0,0,1,0,1
4,78,1780.1898008475016,120.12592681098677,6,14,1,0.9758150312719991,0.2666053788801314,1,0,0,0,0,94.12412141115091,267.859266990071,2685.0371449797103,61.15822322750775,0,0,1,0,2
15,65,782.8843861100049,591.3535172824697,2,12,2,0.7704865616301665,0.19301331532328472,0,0,0,0,0,39.360487080215975,70.58013681751319,2007.5209355447575,163.73431222303464,0,0,1,1,2
303,173,85.41107810431927,0.2575627934915248,44,44,4,0.2273697513834244,0.8132994659951435,240,23,94,18,92,338.4795730820488,2986.9764647213865,34495.11924630934,4838.265764525126,96,5,6,18,31
30,72,2447.393414827171,345.0219868409938,2,5,2,0.8722903046376336,0.003314130502743939,1,0,0,0,0,109.09075742757774,120.13714300986827,545.899348037122,21.467177557800866,0,0,1,0,0
3,46,2559.799294335388,115.89013675815075,4,13,1,0.9728030343018121,0.0015752914746372858,2,0,0,0,0,46.82634368077206,53.35689639094584,4319.749998526195,282.79281342138074,0,0,1,0,2
13,57,2641.661892840219,771.3973247928421,4,10,1,0.9741103686660161,0.08345292927642313,0,0,0,0,0,83.18758788895603,173.09582137855332,3996.7408443234754,291.72338878213486,0,0,1,0,1
4,39,3996.3520147747017,615.4205521510582,2,10,2,0.9157623175221743,0.22650318832433292,0,0,0,0,0,24.654969695384032,24.656976768905846,3911.2517070595763,323.45888923920825,0,0,1,0,0
39,78,2219.527128573474,683.4927924127352,3,2,1,0.732784433974612,0.028718975763962915,0,0,0,0,0,66.38085376084206,31.034410187957093,2122.877837171693,60.937457461177566,0,0,1,0,0
233,180,41.3663346256504,3.5267680925590907,67,31,4,0.353522733487856,0.8455278312319775,299,19,86,21,39,590.0280645929395,2428.87040905627,47130.43054450183,998.1968035765021,23,12,9,31,33
23,118,4186.843000407163,344.14645091618524,2,14,2,0.8164453760604194,0.14871934447375054,0,0,0,0,0,94.34543369009171,126.38082050250254,3128.069566329269,273.2003924322695,0,0,1,0,0
24,54,1906.683993047617,385.0191487080828,3,13,1,0.7720921178075519,0.08920156534153399,0,0,0,0,0,24.67225440174022,192.729725557942,4791.399414344093,162.2480733991507,0,0,1,0,0
13,93,1827.1454566780628,438.5889065152004,7,2,1,0.920231063057804,0.11170427943173457,0,0,0,0,0,92.8829098118735,168.47902028880884,1752.6715165925154,53.24274563885517,0,0,1,0,0
6,66,2145.829497671958,281.9321565165621,2,13,2,0.952985177820368,0.18033435877087825,0,0,0,0,0,88.9564377049457,134.1433078184501,3676.2193808792717,192.1242789076098,0,0,1,0,1
26,49,3107.011668850483,847.2924608319446,3,6,2,0.8676038442301846,0.08331692227390983,0,0,0,0,0,82.15319038009284,36.97876204946239,732.3530574992795,430.0189364858934,0,0,1,0,2
21,93,2474.356394994013,663.0877212365414,7,3,2,0.7183569655813978,0.19745284476734373,0,0,0,0,0,41.19998210388482,39.15515536333095,1500.0650925423877,474.19037233817977,0,0,1,0,0
7,61,4608.150545592157,465.44478016233114,4,14,1,0.8284702852734236,0.12273921208459408,0,0,0,0,0,78.34941683907225,28.074346958305355,3952.8070521104055,72.74833592421153,0,0,1,0,0
2,29,3994.5213017848364,449.63812717054225,1,9,2,0.8342623846286552,0.16148634074998502,0,0,0,0,0,70.31875346723392,140.98011931860546,3760.902578746553,206.06561363448472,0,0,1,0,2
23,19,789.2893070369407,706.419222584419,1,14,2,0.8072928918742512,0.24976627983329633,0,0,0,0,0,33.98412907011759,169.25929048707138,2477.8462597975267,101.3535373722646,0,0,1,0,0
23,104,1356.5111082052526,570.2391297954839,2,3,1,0.9658250917987559,0.24366623814638355,0,0,0,0,0,36.94258096456096,143.9750391195454,4382.233531776586,390.795089427819,0,0,1,0,1
24,88,3754.6115394718663,211.49411729987776,3,7,2,0.7934564149174894,0.219667434369943,0,0,0,0,0,69.37674797051378,194.36551706806603,838.3363973103209,246.97688614149328,0,0,1,0,2
30,97,3237.945050972092,636.2862695250153,2,8,1,0.9004052026258454,0.23787466119409278,0,0,0,0,0,113.48295818397045,280.6327703345332,4355.050247126632,456.0967124793978,0,0,1,0,1
20,91,4863.337689777778,117.09776390749964,6,4,1,0.8020343608481754,0.2098520118952322,0,0,0,0,0,91.8590371189923,134.3770933945704,1212.5988018601552,9.658141382604956,1,0,1,0,2
186,630,15.79956537126387,1.083068937262719,90,19,2,0.3560235658652322,0.5066934673260199,65,3,62,6,23,597.2171458590794,1150.5541075555827,38989.86248657831,7891.145168566732,59,4,5,9,36
4,37,3370.4707405675636,324.8507259143163,4,7,2,0.8911269448718726,0.10662708301788745,0,0,0,0,0,111.83609104433637,20.373680177931565,2063.252393459733,192.79636013866153,0,0,1,0,1
37,19,3518.703510109639,49.13492255054038,7,5,1,0.9909299019428581,0.037122497557975406,0,0,0,0,1,62.7877445008051,54.842144361814164,1204.1956011857762,492.3770025102689,0,1,1,0,1
4,71,3965.7915648921835,333.4187891835134,2,5,1,0.9695891048440053,0.27889227213299794,0,0,0,0,0,66.40404434232325,253.06778665372346,1593.7063900177232,297.30080009083724,0,0,1,0,2
26,22,1845.9281408326685,507.0070147090467,6,4,1,0.8529194814115504,0.028912507084781523,0,0,0,0,0,55.44707500340279,125.99309860489366,4060.8254492089936,99.55641747351463,0,0,1,0,0
20,61,1833.9799270493256,515.3208026554722,3,7,1,0.7790603159040226,0.1655183538348329,0,0,0,0,0,77.29227375622693,158.55215904620732,2029.5626613514344,19.066944658620912,0,0,1,0,2
321,1047,27.815507857247113,4.064992225477194,37,59,4,0.7799160989650522,0.6091325040833133,169,12,43,48,141,222.00744085932723,1571.089711939143,39754.677099550085,6108.025857902468,42,12,3,20,33
220,1173,5.418461763733745,0.7891928186233466,54,11,2,0.6736480109575501,0.8714568121559928,185,25,82,6,108,617.2663655295038,1043.8499376460231,41632.76704349963,2013.9861553139156,27,2,9,23,34
16,99,1382.2093513526793,394.67659219455214,7,2,1,0.7867919650969114,0.10494943224474848,0,0,0,0,0,98.48350030494514,219.1458905303441,234.6141181321879,342.86020301039923,0,0,1,0,0
36,105,3752.6755064816325,407.8240111417734,2,1,1,0.8042570399052269,0.05882795880212449,0,0,0,0,0,93.28800419396963,72.80090390197148,4795.893482527503,128.89170854319693,0,0,1,0,0
22,44,2990.693066217291,162.9216103042593,5,11,1,0.7347067547942904,0.043801508405920175,0,0,0,0,0,103.87162458945278,30.968320729816156,2360.110435760015,24.074118494497032,0,0,1,0,2
178,503,73.13900656464091,1.7915513875766669,79,69,4,0.6343684973831576,0.3658647437281516,10,45,62,21,28,692.4861224241045,2921.2709018571195,37005.74942281186,1825.1885460406852,26,12,7,22,24
13,96,1383.6729757730263,80.40608281984942,2,5,1,0.9318680329038169,0.17452245989355333,0,0,0,0,0,63.43012903319668,250.69654594805525,4232.22564600377,215.36026677982423,0,0,1,0,2
